Eb/N0 [dB],P_ep,P_eb,Gc (dB),Ga (dB)
1.0,0.034372358592150876,0.008041643562484768,3.619294178108511,1.5490195998574319
1.3103448275862069,0.025282056941221147,0.005875661095977394,3.705729411393571,1.5490195998574319
1.6206896551724137,0.018172660567868683,0.004189183503479417,3.789332813044455,1.5490195998574319
1.9310344827586208,0.012861692077895403,0.0029400236494833342,3.8591949210879095,1.5490195998574319
2.2413793103448274,0.009071304618395358,0.0020618494651671463,3.901541629990744,1.5490195998574319
2.5517241379310347,0.0061774126920368135,0.0013964346986886813,3.950415714929263,1.5490195998574319
2.8620689655172415,0.004175261130590606,0.0009397796965679498,3.9790161387318013,1.5490195998574319
3.1724137931034484,0.002755073678713589,0.0006135334179040517,4.008091033149712,1.5490195998574319
3.4827586206896552,0.001792595792530503,0.00039733285940985916,4.019875689588174,1.5490195998574319
3.793103448275862,0.0011431929975495446,0.00025275873273127735,4.0227277428494075,1.5490195998574319
4.103448275862069,0.0006958080837871581,0.0001538701463124587,4.033257073859824,1.5490195998574319
4.413793103448276,0.00042524193704581586,9.243575309948133e-05,4.030644013362606,1.5490195998574319
4.724137931034483,0.00024316995826064513,5.273074640267907e-05,4.036979771072484,1.5490195998574319
5.0344827586206895,0.00013419501428161545,2.9222766936445638e-05,4.0375786026680975,1.5490195998574319
5.344827586206897,7.172205078979338e-05,1.5445108890183347e-05,4.04093035111282,1.5490195998574319
5.655172413793103,3.686273806060955e-05,8.037473365133557e-06,4.030959417592953,1.5490195998574319
5.9655172413793105,1.9907793669418226e-05,4.287019643040732e-06,3.992017575200415,1.5490195998574319
6.275862068965518,1.1129255905431773e-05,2.3691124474405302e-06,3.923665651136531,1.5490195998574319
6.586206896551724,4.421395435917005e-06,9.597677949467058e-07,3.9587631947856607,1.5490195998574319
6.8965517241379315,2.1184110566044726e-06,4.6605421813211906e-07,3.9067348599915723,1.5490195998574319
7.206896551724138,8.352780021421518e-07,1.8793945831177554e-07,3.901419349638833,1.5490195998574319
7.517241379310345,3.096777419261219e-07,6.193396086795264e-08,3.937785052759164,1.5490195998574319
7.827586206896552,0.0,0.0,inf,1.5490195998574319
8.137931034482758,1.016232278179359e-07,3.0486968345380765e-08,3.5252158189599854,1.5490195998574319
8.448275862068966,9.28451658307507e-08,9.284516583075069e-09,3.5436128094978283,1.5490195998574319
8.758620689655173,0.0,0.0,inf,1.5490195998574319
9.068965517241379,0.0,0.0,inf,1.5490195998574319
9.379310344827587,0.0,0.0,inf,1.5490195998574319
9.689655172413794,0.0,0.0,inf,1.5490195998574319
10.0,0.0,0.0,inf,1.5490195998574319
